match_id,time,avg_summoner_lvl_team_1,avg_match_history_length_team_1,avg_win_rate_team_1,sum_champ_mastery_team_1,avg_summoner_lvl_team_2,avg_match_history_length_team_2,avg_win_rate_team_2,sum_champ_mastery_team_2,winner
NA1_5084954590,2024-08-24 19:00:45.459735,259.2,20.0,0.47,679804,147.6,17.2,0.53,264650,2
NA1_5084904272,2024-08-24 19:01:15.138863,256.8,20.0,0.47,619623,338.0,17.2,0.55,1103095,2
NA1_5084881688,2024-08-24 19:02:32.195630,107.2,18.4,0.48,1632742,341.6,17.2,0.57,142810,2
NA1_5024726512,2024-08-24 19:03:02.130218,275.0,20.0,0.49,422092,326.6,20.0,0.49,200433,1
NA1_5023726537,2024-08-24 19:04:18.757523,294.6,20.0,0.5,963202,307.4,20.0,0.46,871071,1
NA1_5023723429,2024-08-24 19:04:50.023430,541.2,20.0,0.48,1304648,295.6,20.0,0.48,916284,2
NA1_5090607131,2024-08-24 19:05:19.879280,215.6,20.0,0.5,814112,185.0,20.0,0.53,495585,1
NA1_5089480944,2024-08-24 19:06:35.074675,185.4,20.0,0.55,200549,132.8,20.0,0.57,39854,2
NA1_5089428495,2024-08-24 19:07:04.626615,462.2,20.0,0.49,691775,477.6,20.0,0.52,1034876,2
NA1_5011612066,2024-08-24 19:08:21.501516,383.6,20.0,0.55,608145,300.6,18.6,0.51,2563504,2
NA1_5011573802,2024-08-24 19:08:50.857104,458.8,20.0,0.47,1874840,383.6,20.0,0.59,873627,2
NA1_5007486546,2024-08-24 19:09:20.112195,359.2,20.0,0.57,2103283,462.8,20.0,0.5,1807786,1
NA1_5032555053,2024-08-24 19:10:38.345575,377.2,20.0,0.59,612524,393.0,20.0,0.53,997040,2
NA1_5032527645,2024-08-24 19:11:07.404815,280.6,20.0,0.61,337886,264.0,20.0,0.53,855262,1
NA1_5032470666,2024-08-24 19:12:24.599752,267.2,20.0,0.61,337442,292.6,20.0,0.52,347697,1
NA1_5050201810,2024-08-24 19:12:53.883987,308.8,16.6,0.52,1799092,441.6,19.2,0.54,623412,1
NA1_5038427192,2024-08-24 19:13:23.731152,450.8,19.2,0.52,333794,235.6,20.0,0.54,1368640,2
NA1_5038416160,2024-08-24 19:14:41.174300,439.0,20.0,0.51,504229,413.0,19.2,0.5,462092,1
NA1_5092590020,2024-08-24 19:15:10.655201,411.4,20.0,0.51,1089697,405.2,20.0,0.53,2169527,2
NA1_5092566554,2024-08-24 19:16:27.411442,206.6,20.0,0.53,115126,209.6,20.0,0.53,125059,2
NA1_5092554263,2024-08-24 19:16:56.836243,537.4,20.0,0.49,542008,242.8,17.2,0.63,200846,2
NA1_5090144843,2024-08-24 19:17:26.212519,392.0,20.0,0.49,657211,484.0,20.0,0.51,296941,2
NA1_5090094978,2024-08-24 19:18:43.562726,345.2,20.0,0.48,1436442,496.8,20.0,0.51,2522849,2
NA1_5090054615,2024-08-24 19:19:13.045838,275.4,18.0,0.48,194117,422.4,20.0,0.49,2360102,2
NA1_5025789089,2024-08-24 19:20:30.200714,321.0,20.0,0.48,2241498,223.6,20.0,0.55,532849,2
NA1_5025775498,2024-08-24 19:20:59.615282,526.2,20.0,0.5,2790004,437.2,20.0,0.48,1085469,1
NA1_5016350239,2024-08-24 19:22:17.846060,264.0,20.0,0.48,616813,382.2,20.0,0.53,2200506,2
NA1_5092189035,2024-08-24 19:22:47.979059,423.6,20.0,0.49,1154086,135.0,20.0,0.54,550390,2
NA1_5092155394,2024-08-24 19:23:17.847125,319.0,20.0,0.56,548403,278.8,20.0,0.54,261784,1
NA1_5091939652,2024-08-24 19:24:33.806574,213.2,20.0,0.56,884277,247.4,20.0,0.48,1529581,1
NA1_5070790049,2024-08-24 19:25:03.059285,149.2,20.0,0.52,546141,475.0,20.0,0.47,1497405,1
NA1_5070731584,2024-08-24 19:26:20.770353,289.6,20.0,0.53,1440481,226.2,20.0,0.48,853892,2
NA1_5070676802,2024-08-24 19:26:50.304559,304.4,20.0,0.47,1255574,108.4,20.0,0.55,702593,2
NA1_5084307417,2024-08-24 19:27:19.681439,225.8,20.0,0.48,414263,394.4,20.0,0.5,917282,2
NA1_5084270138,2024-08-24 19:28:36.904304,348.0,20.0,0.5,296504,362.2,20.0,0.5,489892,2
NA1_5084238219,2024-08-24 19:29:06.445712,381.2,20.0,0.48,2797231,366.4,20.0,0.48,329697,1
NA1_5080274349,2024-08-24 19:30:23.838664,323.6,20.0,0.48,545770,196.8,20.0,0.51,2550772,1
NA1_5080205141,2024-08-24 19:30:53.062646,590.8,20.0,0.5,1186850,523.8,20.0,0.51,2113703,1
NA1_5080156789,2024-08-24 19:31:22.282679,224.6,20.0,0.4,722018,214.2,17.2,0.49,1350441,2
NA1_5069293840,2024-08-24 19:32:39.555907,543.0,20.0,0.54,810631,289.6,20.0,0.47,191114,1
NA1_5069241094,2024-08-24 19:33:08.822390,710.4,20.0,0.54,639209,254.8,20.0,0.49,182974,1
NA1_5069193436,2024-08-24 19:34:26.448480,426.6,20.0,0.54,509260,322.6,20.0,0.53,1702295,1
NA1_5068490641,2024-08-24 19:34:55.614348,382.8,16.4,0.49,800683,384.8,20.0,0.48,1752639,2
NA1_5068464594,2024-08-24 19:35:25.236124,259.2,20.0,0.51,4165760,647.8,20.0,0.51,1799760,1
NA1_5068415777,2024-08-24 19:36:42.727685,417.2,20.0,0.51,951341,498.6,20.0,0.49,4874692,1
NA1_5081708852,2024-08-24 19:37:12.087313,163.2,20.0,0.55,746908,217.0,20.0,0.44,608197,1
NA1_5081683864,2024-08-24 19:38:29.486753,380.0,20.0,0.55,1099605,254.2,20.0,0.43,1089421,1
NA1_5081638800,2024-08-24 19:38:59.313769,466.2,20.0,0.45,1207167,544.8,20.0,0.45,2787654,1
NA1_5077985384,2024-08-24 19:39:29.730207,536.0,20.0,0.53,1762298,288.0,20.0,0.5,1863191,2
NA1_5033042463,2024-08-24 19:40:45.226936,357.0,20.0,0.55,570177,271.8,20.0,0.54,923616,2
NA1_5033028060,2024-08-24 19:41:14.603937,359.4,20.0,0.53,741221,308.2,20.0,0.5,1791305,1
NA1_5092627839,2024-08-24 19:42:32.262318,481.6,20.0,0.48,1460453,624.4,20.0,0.48,606541,2
NA1_5092610769,2024-08-24 19:43:01.688229,453.8,20.0,0.43,729853,399.2,20.0,0.44,792663,2
NA1_5092573604,2024-08-24 19:44:18.808477,433.4,20.0,0.52,1638024,311.0,20.0,0.5,1012933,1
NA1_5093763805,2024-08-24 19:44:48.655289,277.2,20.0,0.49,1106111,403.8,20.0,0.49,1598319,1
NA1_5093754125,2024-08-24 19:45:18.130746,461.0,20.0,0.52,668465,326.6,20.0,0.49,426136,1
NA1_5093736690,2024-08-24 19:46:35.225822,351.0,20.0,0.48,1516851,369.0,20.0,0.54,1075393,2
NA1_5031789185,2024-08-24 19:47:04.811571,310.0,20.0,0.5,749058,238.2,20.0,0.46,2390216,1
NA1_5030952175,2024-08-24 19:48:21.608291,128.8,16.6,0.56,173491,568.8,20.0,0.5,519579,2
NA1_5030949915,2024-08-24 19:48:50.921222,379.8,20.0,0.5,1029960,608.0,20.0,0.49,1072038,1
NA1_5020871774,2024-08-24 19:49:20.711222,446.0,20.0,0.5,2804529,351.6,20.0,0.42,391047,1
NA1_5010451401,2024-08-24 19:50:38.323607,153.2,20.0,0.49,625443,574.6,20.0,0.49,260265,1
NA1_5009306521,2024-08-24 19:51:07.887912,431.4,20.0,0.46,2029192,423.6,20.0,0.5,2497551,2
NA1_5039016630,2024-08-24 19:52:24.405234,155.2,20.0,0.47,276463,358.2,20.0,0.51,1029478,2
NA1_5038998594,2024-08-24 19:52:53.901697,250.8,20.0,0.49,615480,211.2,20.0,0.46,286465,2
NA1_5038056990,2024-08-24 19:53:23.512269,302.2,20.0,0.5,198725,180.0,20.0,0.47,146880,1
